"cellID","X95","X190","X285","X380","X475","X950","X1425","X1900","X4750","X9500","X14250","rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
1,"0",0.5,"0.375","0.3","0.333333333333333","0.506493506493506","0.521472392638037","0.461538461538462","0.450738916256158","0.450659293917482","0.432570291117193",1,17,6,7,4522.0083497053,17420.557509296
2,"1",0.75,"0.5","0.363636363636364","0.388888888888889","0.519480519480519","0.49390243902439","0.475","0.44916820702403","0.45034935422401","0.432928341185222",1,21,22,24,4620.67218465843,17414.7226597517
5,"1",0.6,"0.5","0.333333333333333","0.454545454545455","0.529411764705882","0.488095238095238","0.465277777777778","0.449818621523579","0.451545091444188","0.432632880098888",1,35,24,16,4597.46814018319,17357.861016986
9,"0",0.4,"0.5","0.454545454545455","0.526315789473684","0.493506493506494","0.40506329113924","0.423611111111111","0.433742331288344","0.438532849657396","0.43273381294964",1,19,9,14,6000.3289866884,17310.0173170408
13,NA,0.25,"0.5","0.571428571428571","0.45","0.4875","0.43030303030303","0.431506849315068","0.43844754396604","0.439693424768052","0.43313708999159",1,33,7,26,5879.44380784487,17301.4413594685
14,NA,0.333333333333333,"0.571428571428571","0.384615384615385","0.434782608695652","0.5","0.43646408839779","0.432885906040268","0.440145102781137","0.441253791708797","0.432879025449282",1,14,8,11,5601.1755441008,17294.6645946463
15,NA,0.333333333333333,"0.333333333333333","0.533333333333333","0.5","0.48314606741573","0.470588235294118","0.442244224422442","0.440483383685801","0.442416869424169","0.43274571359575",1,14,7,8,5501.87145903137,17287.7496124356
18,"0",0.666666666666667,"0.5","0.578947368421053","0.586206896551724","0.4125","0.383116883116883","0.420138888888889","0.426755447941889","0.43614265789998","0.433035181872391",1,40,15,26,6199.36036323084,17253.4043235535
24,NA,0.333333333333333,"0.3","0.263157894736842","0.4","0.5","0.5","0.45360824742268","0.452841241944933","0.454891189520389","0.431908548707753",1,39,21,13,4160.42837653479,17233.0149634376
29,"0",0.5,"0.454545454545455","0.470588235294118","0.6","0.449438202247191","0.384615384615385","0.416393442622951","0.429761904761905","0.437190900098912","0.432619047619048",1,24,13,28,6097.63672696676,17197.0523787804
30,"1",0.571428571428571,"0.7","0.705882352941177","0.6","0.350649350649351","0.38255033557047","0.375886524822695","0.417744916820702","0.430769230769231","0.432528409090909",1,21,12,29,6520.74869866975,17203.1495928277
31,"0.75",0.625,"0.727272727272727","0.65","0.592592592592593","0.341463414634146","0.387096774193548","0.383561643835616","0.420316301703163","0.43156862745098","0.432355723746452",1,24,12,22,6479.69119830329,17166.1114707054
37,"0.5",0.571428571428571,"0.727272727272727","0.588235294117647","0.538461538461538","0.346666666666667","0.38562091503268","0.376306620209059","0.418304668304668","0.430029440628067","0.432553744389322",1,25,9,9,6578.75576036866,17165.2920063471
38,"1",0.4,"0.454545454545455","0.55","0.575757575757576","0.509259259259259","0.495192307692308","0.452662721893491","0.44780376497433","0.449390243902439","0.431663424124514",1,28,40,23,4857.70770593446,17154.2054254153
40,NA,0,"0.285714285714286","0.357142857142857","0.409090909090909","0.323529411764706","0.364864864864865","0.355633802816901","0.405055487053021","0.427957828973057","0.432101670981407",1,32,10,17,6826.53354956416,17147.822640293
42,"1",0.428571428571429,"0.363636363636364","0.375","0.52","0.44578313253012","0.452830188679245","0.473498233215548","0.451380552220888","0.460089878022683","0.43140454374294",1,41,47,50,3636.29632792485,17146.2236727098
43,"1",0.6,"0.25","0.368421052631579","0.37037037037037","0.551020408163265","0.486187845303867","0.453947368421053","0.453441295546559","0.457232704402516","0.431384691602675",1,17,14,16,4090.81689844079,17149.6239961608
47,NA,0.5,"0.333333333333333","0.52","0.542857142857143","0.462264150943396","0.490740740740741","0.439655172413793","0.449258836944128","0.446043165467626","0.432240173619484",1,30,11,12,5163.70802650957,17122.6894473709
50,"0",0.6,"0.384615384615385","0.615384615384615","0.583333333333333","0.419354838709677","0.374301675977654","0.4125","0.428737638161722","0.436743459586099","0.432111941183446",1,35,21,30,6161.57969034608,17113.9804407019
51,NA,0.2,"0.25","0.473684210526316","0.454545454545455","0.475728155339806","0.435643564356436","0.418879056047198","0.439585730724971","0.441141732283465","0.432316491897045",1,32,9,14,5760.47978238494,17110.827774106
52,"1",0.6,"0.5","0.380952380952381","0.466666666666667","0.571428571428571","0.483695652173913","0.457142857142857","0.452613440551407","0.4580375782881","0.43148904567397",1,37,14,22,4048.08195576251,17105.1335575977
55,"0",0.714285714285714,"0.647058823529412","0.6","0.575757575757576","0.376470588235294","0.366279069767442","0.401294498381877","0.424188790560472","0.434131153920996","0.432237464522233",1,26,16,22,6336.80917647059,17109.057897254
57,"0",0.25,"0.4","0.45","0.5","0.509615384615385","0.458536585365854","0.426086956521739","0.440872560275545","0.441246056782334","0.432342051833274",1,6,10,20,5632.68714881276,17105.0040346901
59,"1",0.5,"0.461538461538462","0.608695652173913","0.527777777777778","0.504347826086956","0.497652582159624","0.451977401129944","0.449577464788732","0.449074074074074","0.431809916353497",1,44,14,16,4875.26325378029,17090.4210109466
61,"0.5",0.727272727272727,"0.615384615384615","0.652173913043478","0.5625","0.348314606741573","0.37125748502994","0.384615384615385","0.422643746295199","0.432977691561591","0.432324184238426",1,14,7,10,6466.09663577068,17085.199979926
62,"1",0.571428571428571,"0.333333333333333","0.5","0.451612903225806","0.471910112359551","0.451807228915663","0.462295081967213","0.45067133683596","0.460203217612193","0.431086142322097",1,42,7,20,3676.96400384986,17076.6983562926
68,"0.666666666666667",0.4,"0.363636363636364","0.428571428571429","0.433333333333333","0.44","0.405594405594406","0.51219512195122","0.454323995127893","0.465783184879426","0.431855709386511",1,34,23,35,3156.19878125657,17042.664206884
71,"0",0.4,"0.5","0.583333333333333","0.542857142857143","0.426829268292683","0.440993788819876","0.491961414790997","0.454599056603774","0.461489497135582","0.430930930930931",1,3,7,9,3501.49758454106,17018.8890942366
72,"1",0.5,"0.416666666666667","0.375","0.5","0.441558441558442","0.416666666666667","0.51006711409396","0.456626506024096","0.465412883700821","0.431551004929844",1,32,18,29,3204.59463123644,17019.5716042847
78,"1",0.571428571428571,"0.5","0.576923076923077","0.5","0.483333333333333","0.491304347826087","0.438172043010753","0.451273532668881","0.445447409733124","0.431671062095421",1,31,19,36,5161.00909458367,17002.2809094752
79,"0",0.625,"0.428571428571429","0.375","0.454545454545455","0.52212389380531","0.468599033816425","0.456140350877193","0.450555555555556","0.456797706797707","0.431795878312071",1,11,26,23,4148.39256352765,16993.4287833878
80,"1",0.5,"0.583333333333333","0.583333333333333","0.470588235294118","0.5","0.478448275862069","0.423497267759563","0.450696378830084","0.444466095089634","0.43219733079123",1,18,23,30,5463.96504468719,16993.8982129266
81,"1",0.714285714285714,"0.625","0.518518518518518","0.5","0.479674796747967","0.482905982905983","0.430079155672823","0.450495049504951","0.446330991412959","0.431834489356613",1,8,7,26,5208.24191774797,16967.5750170615
83,"1",0.75,"0.642857142857143","0.56","0.538461538461538","0.523809523809524","0.484978540772532","0.457894736842105","0.451472191930207","0.450069485805043","0.431606905710491",1,6,22,37,4826.77990770323,16983.9899773559
87,"1",0.571428571428571,"0.6875","0.56","0.513513513513513","0.336842105263158","0.397790055248619","0.36950146627566","0.424587364826409","0.432597105864433","0.430981954534802",1,36,15,22,6480.71447319085,16971.790105375
91,"0.666666666666667",0.5,"0.363636363636364","0.478260869565217","0.457142857142857","0.40506329113924","0.413793103448276","0.516233766233766","0.455250596658711","0.46607796683179","0.431384926145689",1,47,45,43,3159.54965930209,16960.457351117
