"cellID","X95","X190","X285","X380","X475","X950","X1425","X1900","X4750","X9500","X14250","rep_num","Arc","Egr2","Nr4a1","center_x","center_y"
27865,NA,1,"0.636363636363636","0.722222222222222","0.625","0.690647482014389","0.607717041800643","0.552158273381295","0.497070752591257","0.425614927905004","0.405152482659914",3,29,6,3,12044.952475811,5245.6609142281
27872,"1",0.833333333333333,"0.857142857142857","0.782608695652174","0.742857142857143","0.560283687943262","0.533333333333333","0.522483940042827","0.504854368932039","0.423622627602727","0.408329560887279",3,49,23,37,12774.2048149905,5229.0576591135
27881,"1",1,"1","0.875","0.878787878787879","0.638888888888889","0.557926829268293","0.531496062992126","0.502198339032731","0.422658340767172","0.407349316603182",3,32,33,16,12511.9406799531,5228.1188555327
27889,"1",1,"0.866666666666667","0.84","0.852941176470588","0.611111111111111","0.561514195583596","0.525354969574036","0.502724120851907","0.422114172519359","0.407394920206788",3,25,12,10,12581.2604075945,5206.3011499359
27902,"1",1,"0.916666666666667","0.904761904761905","0.903225806451613","0.653061224489796","0.571428571428571","0.535508637236084","0.497359577532405","0.422662188439102","0.40627092166927",3,30,13,15,12404.7672142607,5198.4668445986
27905,NA,1,"0.857142857142857","0.705882352941177","0.75","0.673758865248227","0.586538461538462","0.547794117647059","0.496285979572888","0.423016837354626","0.405228758169935",3,76,63,45,12201.2393610224,5182.2380355738
27918,NA,0.857142857142857,"0.866666666666667","0.833333333333333","0.810810810810811","0.588652482269504","0.551282051282051","0.525","0.50253036437247","0.423083958295226","0.407976499830528",3,38,30,31,12682.3718932749,5172.0162084855
27928,"1",0.857142857142857,"0.833333333333333","0.857142857142857","0.878787878787879","0.650684931506849","0.56969696969697","0.530769230769231","0.498788172564227","0.422652916073969","0.406988464553701",3,34,18,20,12432.6830284788,5153.7145632578
27931,"1",1,"0.6","0.461538461538462","0.422222222222222","0.469512195121951","0.508982035928144","0.482456140350877","0.46644407345576","0.419918298351881","0.399007496568472",3,19,25,13,9555.52867006905,5138.108410472
27940,NA,1,"0.272727272727273","0.333333333333333","0.32258064516129","0.36986301369863","0.386819484240688","0.367149758454106","0.398902821316614","0.425375208449138","0.398250605964801",3,11,6,9,4020.78288609495,5126.194308544
27962,"0",0.8,"0.6","0.5","0.387096774193548","0.490445859872611","0.468842729970326","0.463157894736842","0.462877792378449","0.418756060396177","0.398250605964801",3,36,18,18,9089.85621445979,5085.7095934041
27977,"1",0.875,"0.8","0.863636363636364","0.861111111111111","0.638888888888889","0.55625","0.535641547861507","0.498738011105502","0.423048869438366","0.408043380027112",3,20,17,11,12586.4607638462,5066.3078920962
27989,"1",0.8,"0.846153846153846","0.875","0.852941176470588","0.635714285714286","0.558641975308642","0.538767395626243","0.496777392166584","0.4226115224851","0.407161355703187",3,26,35,44,12495.5020796197,5048.6306530472
28001,"0.5",0.8,"0.454545454545455","0.476190476190476","0.454545454545455","0.512658227848101","0.471976401179941","0.470175438596491","0.460767946577629","0.420395567400757","0.398670745859268",3,18,18,17,9249.61387631976,5018.2874015275
28087,"1",0.8,"0.75","0.818181818181818","0.676470588235294","0.632352941176471","0.573170731707317","0.544933078393881","0.488360574541852","0.424007220216606","0.407620335926051",3,28,15,8,12391.1752260706,4896.8636317903
28092,"0",0.833333333333333,"0.833333333333333","0.833333333333333","0.722222222222222","0.664233576642336","0.561728395061728","0.544354838709677","0.491021036428938","0.425110946745562","0.408506766746275",3,34,35,46,12584.0306936771,4888.0763408318
28102,NA,1,"0.733333333333333","0.518518518518518","0.564102564102564","0.544827586206897","0.572327044025157","0.584938704028021","0.47489539748954","0.422983675448521","0.404294746021365",3,23,7,11,11268.1840277778,4869.6593107434
28104,"1",1,"0.769230769230769","0.692307692307692","0.590909090909091","0.561643835616438","0.58307210031348","0.585365853658537","0.476251604621309","0.423592931937173","0.404462430274527",3,31,9,15,11406.0245082232,4874.7374494288
28122,NA,1,"0.666666666666667","0.535714285714286","0.581395348837209","0.626666666666667","0.605095541401274","0.581105169340463","0.479500891265597","0.423329405823935","0.40542328042328",3,9,36,51,11678.069899923,4836.0978351247
28126,"1",1,"0.8125","0.692307692307692","0.636363636363636","0.571428571428571","0.59375","0.592592592592593","0.475346020761246","0.423972263496781","0.404560903409714",3,19,28,51,11459.157354798,4828.9851910745
